username,Display Name,Profile pic,topmate_link,category,title,earnings,bookings,source,classification_method,earnings_rank,category_link
ajay_shenoy,Ajay Shenoy,https://static.topmate.io/7Jn6xiUrQsncihaSqFGp6J.png,https://topmate.io/ajay_shenoy,AI / ML,14+ yrs in AI/ML: Industry + IISc PhD | Harman | Target | NITK,15392461,1101,categorizedusers,original,1,https://awards.topmate.io/ai-ml
gdq,Gabriela de Queiroz,https://static.topmate.io/oe4FFFnwg8FaAyMKAfhewc.jpeg,https://topmate.io/gdq,AI / ML,,1358046,305,top400earners,original,2,https://awards.topmate.io/ai-ml
raj_abhijit_dandekar,Raj Abhijit Dandekar,"https://topmate.io/cdn-cgi/image/width=640,quality=90/https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Raj-Abhijit%20Dandekar-1670841435.jpeg",https://topmate.io/raj_abhijit_dandekar,AI / ML,Hello! This is Dr. Raj Dandekar. I have two goals:(1) I help students in their grad school application process.(2) I help democratize AI education at all stages of a student life.,1120333,290,categorizedusers,original,3,https://awards.topmate.io/ai-ml
nirmal_budhathoki,Nirmal Budhathoki,https://static.topmate.io/c3kYm2tAqbWY7YB2811KHa.png,https://topmate.io/nirmal_budhathoki,AI / ML,,1045468,967,top400earners,original,4,https://awards.topmate.io/ai-ml
aishwarya_srinivasan,Aishwarya Srinivasan,https://static.topmate.io/7pXWU8fGN1xd6WzMQFDt9Y.avif,https://topmate.io/aishwarya_srinivasan,AI / ML,Data Science| Personal Brand | LinkedIn Influencer | Startup Advisor| Content Creator | First Human at bunchpot.xyz,794379,2327,categorizedusers,original,5,https://awards.topmate.io/ai-ml
theaipmcoach,Sumit Kumar Singh,https://static.topmate.io/37jKyceCojhSGnSjwzin5w.jpg,https://topmate.io/theaipmcoach,AI / ML,"Harvard Alum, Ex-Microsoft AI PM leader | Mentored 1500+ | Helping Founders, Innovators and teams to unlock 10X value using AI. Helps with Jobs, referrals, interview prep and career coaching. Connect to unlock your dream career.",547025,119,categorizedusers,original,6,https://awards.topmate.io/ai-ml
namanmehta2211,Naman Mehta,https://static.topmate.io/6ihZPq2daEU9mibMtSfdZn.jpg,https://topmate.io/namanmehta2211,AI / ML,"Founder at MM Design collective  |  AI specialist & Architect | AI Consultant for AEC Firms | Speaker & Educator | Transforming AEC Industry with BIM, Generative Design & Automation",293164,59,categorizedusers,original,7,https://awards.topmate.io/ai-ml
malthi_ss,Malthi Satish,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Malthi-SS-1669274484.jpeg,https://topmate.io/malthi_ss,AI / ML,"Product Coach and Trainer, Chief Product Officer at HerKey",277968,42,categorizedusers,original,8,https://awards.topmate.io/ai-ml
shantanuladhwe,Shantanu Ladhwe,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_253fa140-2dfe-48c6-929b-9b6bd8a17296.jpeg,https://topmate.io/shantanuladhwe,AI / ML,"AI/ML Engineering Manager - AI Agents, RAG, Recommender Systems, Search & MLOps",275649,95,categorizedusers,original,9,https://awards.topmate.io/ai-ml
invest_in_incredible_india,Amit Taware,https://topmate-staging.s3.ap-south-1.amazonaws.com/7iTnkyRgc9wECbdxHLE6dK.jpeg,https://topmate.io/invest_in_incredible_india,AI / ML,,204353,57,top400earners,llm_haiku,10,https://awards.topmate.io/ai-ml
dennis_darko,Dennis Darko,https://static.topmate.io/4aCbLGPHQ5wxU3DCLYYGsD.jpg,https://topmate.io/dennis_darko,AI / ML,,203923,55,top400earners,llm_haiku,11,https://awards.topmate.io/ai-ml
videsh_registration,Videsh Services,https://topmate-staging.s3.ap-south-1.amazonaws.com/1VftGDTp3tR5BRJ5FGcBSk.jpeg,https://topmate.io/videsh_registration,AI / ML,,177497,1488,top400earners,llm_haiku,12,https://awards.topmate.io/ai-ml
noelle,Noelle Russell,https://topmate-staging.s3.ap-south-1.amazonaws.com/8k12yoREHUwtz9vnxNx5jb.jpeg,https://topmate.io/noelle,AI / ML,,162763,13,top400earners,llm_haiku,13,https://awards.topmate.io/ai-ml
manishmazumder,Manish Mazumder,https://static.topmate.io/sCMcNhtrSyTD1xwzfmZLgC.jpg,https://topmate.io/manishmazumder,AI / ML,,161914,642,top400earners,llm_haiku,14,https://awards.topmate.io/ai-ml
tirth_patel14,Tirth Patel,https://topmate-staging.s3.amazonaws.com/sXbtFB9azHyMKGkNco4B7M.jpg,https://topmate.io/tirth_patel14,AI / ML,founder @Neno Technology| Founder @Agentic Bharat | AI Researcher Contributor (Instagram 100k+ Family)Ex-L&T Technology Services | Consulting | President – Tech Club | Public Speaker | Building with AI Automation & Agentic AI |,147959,273,categorizedusers,original,15,https://awards.topmate.io/ai-ml
ntnaggarwal35,Nitin Aggarwal,https://topmate-staging.s3.amazonaws.com/53ZNAFnfmcmQRLXuWQ6sdp.jpg,https://topmate.io/ntnaggarwal35,AI / ML,"Sr. Director, Generative AI, Microsoft",117174,36,categorizedusers,original,16,https://awards.topmate.io/ai-ml
laurence_moroney,Laurence Moroney,https://static.topmate.io/pL6HL3zo4YCTt2NRkVyEJh.jpg,https://topmate.io/laurence_moroney,AI / ML,,116947,13,top400earners,original,17,https://awards.topmate.io/ai-ml
badar_munir,Badar Munir,https://static.topmate.io/pXaGGAbyPC4fhYaiyGRTfD.png,https://topmate.io/badar_munir,AI / ML,,96197,51,top400earners,llm_haiku,18,https://awards.topmate.io/ai-ml
pooja_palod,Pooja Palod,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_b4561851-5bfe-4c19-9205-4185df15749d.jpeg,https://topmate.io/pooja_palod,AI / ML,Machine learning engineer at Uber,87912,109,categorizedusers,original,19,https://awards.topmate.io/ai-ml
jessicaa,Advance AI,https://static.topmate.io/wNL42u3yrbHSChzXnByuFz.png,https://topmate.io/jessicaa,AI / ML,,86656,329,top400earners,llm_haiku,20,https://awards.topmate.io/ai-ml
commonjob,Common Jobs,https://static.topmate.io/eukm8vK1RDPNojmmcfnE4x.png,https://topmate.io/commonjob,AI / ML,,80633,606,top400earners,llm_haiku,21,https://awards.topmate.io/ai-ml
vin_thejobhunt_community,Vin_theJobHunt Community,https://static.topmate.io/4QYcLWfsCTjtqB64JSmh3n.JPG,https://topmate.io/vin_thejobhunt_community,AI / ML,,79265,56,top400earners,llm_haiku,22,https://awards.topmate.io/ai-ml
arnavgupta,Arnav Gupta,https://static.topmate.io/h6GksBhMgdEbVbEQPFnYsw.jpg,https://topmate.io/arnavgupta,AI / ML,,75250,204,top400earners,llm_haiku,23,https://awards.topmate.io/ai-ml
ihitsuperhuman,Himanshu Upreti,https://static.topmate.io/toLYA66McY88TcZwsMcoYh.jpg,https://topmate.io/ihitsuperhuman,AI / ML,Machine Learning Engineer III @ Google | Interview Coach | DSA Mock Interviews | ML Mock Interviews,67989,120,categorizedusers,original,24,https://awards.topmate.io/ai-ml
harish_kumar142,Harish Kumar,https://static.topmate.io/cAHmfq8ZLVP759SrTdkBS4.png,https://topmate.io/harish_kumar142,AI / ML,,63600,254,top400earners,llm_haiku,25,https://awards.topmate.io/ai-ml
rohitdecoded,Rohit Yadav,https://static.topmate.io/ajSFnLsXtu8Jkq3aKPPMvt.png,https://topmate.io/rohitdecoded,AI / ML 2,,63433,211,top400earners,llm_haiku,1,https://awards.topmate.io/ai-ml-2
balyogi_mohan_dash_phd,"Balyogi Mohan Dash, PhD",https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_00e4f2de-39af-4b38-b98b-d1044192003b.jpeg,https://topmate.io/balyogi_mohan_dash_phd,AI / ML 2,R&D Engineer @ BUAWEI || PhD in Artificial Intelligence || Computer Vision || LLM || Generative AI || Automatic Speech Recognition,62599,47,categorizedusers,original,2,https://awards.topmate.io/ai-ml-2
nabaneet_pradhan,Nabaneet Pradhan,https://static.topmate.io/5VTHB42ymVyS6qMrCcr4Yv.jpg,https://topmate.io/nabaneet_pradhan,AI / ML 2,,61599,1,top400earners,llm_haiku,3,https://awards.topmate.io/ai-ml-2
umang_chaudhary,Umang Chaudhary,https://static.topmate.io/9WBgaD2bpweYQmTt5Uxefz.jpeg,https://topmate.io/umang_chaudhary,AI / ML 2,,59926,9,top400earners,llm_haiku,4,https://awards.topmate.io/ai-ml-2
sunny_savita10,sunny savita,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_0076cb5e-25d5-4333-b8cd-f0ba6c0bdaf7.jpeg,https://topmate.io/sunny_savita10,AI / ML 2,Generative AI Engineer@ PwC India | Data & AI Architect | MLOps | Cloud & DevOps | Product Development,56000,188,categorizedusers,original,5,https://awards.topmate.io/ai-ml-2
simranjeet97,Simranjeet Singh,https://static.topmate.io/8iHAWdv8mM3koDAChAZAme.jpeg,https://topmate.io/simranjeet97,AI / ML 2,"AI/ML at Google | Ex-ABC, EXL, TCS DIGITAL | GenAI/LLM Expert | Azure Certified | Machine Learning | NLP | Tech YouTube Creator | Medium Blogger | AI Enthusiast | Φ²  = Φ + 1",45973,283,categorizedusers,original,6,https://awards.topmate.io/ai-ml-2
himanshuramchandani,Himanshu Ramchandani,https://static.topmate.io/8ghMquktTZQduzT9gpYSEH.png,https://topmate.io/himanshuramchandani,AI / ML 2,The Last AI Consultant You'll Ever Hire,40214,21,categorizedusers,original,7,https://awards.topmate.io/ai-ml-2
niharika_ahuja10,Niharika Ahuja,"https://topmate.io/cdn-cgi/image/width=640,quality=90/https://static.topmate.io/hx96Mufeu9YdiLZqySeJeU.png",https://topmate.io/niharika_ahuja10,AI / ML 2,Helping people understand Machine Learning and Large Language Models from Scratch,37314,7,categorizedusers,original,8,https://awards.topmate.io/ai-ml-2
joydeep_bhattacharjee,Joydeep Bhattacharjee,https://topmate-staging.s3.ap-south-1.amazonaws.com/tYAjFNwHJ8Fikr6kw6UtVb.jpg,https://topmate.io/joydeep_bhattacharjee,AI / ML 2,Senior Machine Learning Staff Engineer at Samsung Semiconductor India R&D,33778,41,categorizedusers,original,9,https://awards.topmate.io/ai-ml-2
rithesh_sreenivasan,Rithesh Sreenivasan,https://static.topmate.io/wjHBZ8d2ew2hFyDpo2UXyd.png,https://topmate.io/rithesh_sreenivasan,AI / ML 2,"Gen AI , Applied ML Consultant with 19+ years Experience  at Philips,  First American. Innovator 14 Granted Patents 30 Patent Filings  Top 1% on topmate.io Educational YouTuber",30242,33,categorizedusers,original,10,https://awards.topmate.io/ai-ml-2
sukannya,Sukanya Bag,https://static.topmate.io/47XbGDLVJpeMWynLAMjtpY.png,https://topmate.io/sukannya,AI / ML 2,"AI Research Engineer | Asst. Manager - AI/ML @ Genpact | Advancing GenAI, Deep Learning, Multimodals & Deep RL/Reasoning | Expertise in MLOps/LLMOps",27055,24,categorizedusers,original,11,https://awards.topmate.io/ai-ml-2
sarthakrastogi,Sarthak Rastogi,https://static.topmate.io/ot6RHua3gddDCM3S6xV8Ti.jpeg,https://topmate.io/sarthakrastogi,AI / ML 2,ML | NLP | LLMs | Generative AI | Product Management,26545,9,categorizedusers,original,12,https://awards.topmate.io/ai-ml-2
astrokarak,Pranjal Singh,https://static.topmate.io/7XuvVQRLzUXnacw3aNZCwe.jpg,https://topmate.io/astrokarak,Astrology / Tarot / Manifestation,"Vedic Astrology ConsultantConsultations, E-Books, and Courses",2104447,1776,categorizedusers,original,1,https://awards.topmate.io/astrology-tarot-manifestation
ritika_bhateja,Tarot & Reiki With Ritika,https://topmate-staging.s3.amazonaws.com/qanproim1NTAPeJHKw9hyk.png,https://topmate.io/ritika_bhateja,Astrology / Tarot / Manifestation,"Ritika Bhateja | Holistic Wellness  | Tarot, Reiki, Vastu, Numerology, Astrology 🍀",792729,319,categorizedusers,original,2,https://awards.topmate.io/astrology-tarot-manifestation
bhavyavignesh,Bhavya Vignesh,https://static.topmate.io/nomHYKiB57qx9RwRKi6oqN.JPG,https://topmate.io/bhavyavignesh,Astrology / Tarot / Manifestation,"Self-reflection, Personal growth, Manifestation, and Relationship Guide.I help you discover solutions within yourself for both life and love. As a friendly, non-judgmental guide and dedicated mentor,  I'm here to support you ❤️",698193,1796,categorizedusers,original,3,https://awards.topmate.io/astrology-tarot-manifestation
nupurgodboley,Nupur Godboley,https://static.topmate.io/1sgQxnKCVLiu5oDCiwmy71.jpeg,https://topmate.io/nupurgodboley,Astrology / Tarot / Manifestation,Animal Communicator & Healer🔮Telepathic Communicator ✨ | Reiki Master 🪬 | Chakra Balancing | Bach Flower Therapist 🌼 | Mediumship | Dowsing 📿 | Tarot 🎴| Cleansing spaces  💫🦓 Guiding you to inner light & healing ☀️,403470,162,categorizedusers,original,4,https://awards.topmate.io/astrology-tarot-manifestation
soul_network,Master Pallavi,https://static.topmate.io/iYHF56VekDDzbQm4QMogjT.png,https://topmate.io/soul_network,Astrology / Tarot / Manifestation,,372768,129,top400earners,original,5,https://awards.topmate.io/astrology-tarot-manifestation
manifestingwithshraddha,Shraddha: Your Manifestation Coach,https://static.topmate.io/ffpaAL9CCb8acmu9r9dLGj.jpeg,https://topmate.io/manifestingwithshraddha,Astrology / Tarot / Manifestation,Manifestation coach who is helping you to live your dream life by VIBING HIGH ✨,321996,420,categorizedusers,original,6,https://awards.topmate.io/astrology-tarot-manifestation
alakhgod,Pradip Mukherji,https://static.topmate.io/7fT7C6e3Yaqq4PtdqzErpP.jpg,https://topmate.io/alakhgod,Astrology / Tarot / Manifestation,,290950,996,top400earners,original,7,https://awards.topmate.io/astrology-tarot-manifestation
healwithaliya,Aliya Singh,https://topmate-staging.s3.ap-south-1.amazonaws.com/1qxAdCkAHhY6PeKjTysaMj.jpeg,https://topmate.io/healwithaliya,Astrology / Tarot / Manifestation,,273983,21,top400earners,original,8,https://awards.topmate.io/astrology-tarot-manifestation
happinesscoachanjali,Anjali Gursahaney,https://static.topmate.io/1uP7cW3Xrxkj2BuAxmDJMj.png,https://topmate.io/happinesscoachanjali,Astrology / Tarot / Manifestation,,219627,119,top400earners,original,9,https://awards.topmate.io/astrology-tarot-manifestation
jyotsnamarisetty,Jyotsna Marisetty,https://static.topmate.io/6sk48HiMWzZoZQ4ob7KMtA.jpg,https://topmate.io/jyotsnamarisetty,Astrology / Tarot / Manifestation,ManifestationMindsetLaw of assumption,193508,233,categorizedusers,original,10,https://awards.topmate.io/astrology-tarot-manifestation
marshaabalani,Marshaa Balani | Divinity by Maayya,https://static.topmate.io/u8orTJGqqcrdtdGPSiaQTz.jpg,https://topmate.io/marshaabalani,Astrology / Tarot / Manifestation,"Trusted by 2.1M+ Souls · 6M+ Views · 333K+ Interactions | Vedic Astrology · Tarot · Manifestation Magic | Book a Reading, Learn the Craft, and Heal Deeply ❤️",161082,820,categorizedusers,original,11,https://awards.topmate.io/astrology-tarot-manifestation
tarotrevati,Kamal Preet,https://topmate-staging.s3.ap-south-1.amazonaws.com/gvDE82DHUEuFbHnKbNCn81.jpeg,https://topmate.io/tarotrevati,Astrology / Tarot / Manifestation,Tarot reader and Astrologer,135169,376,categorizedusers,original,12,https://awards.topmate.io/astrology-tarot-manifestation
roshansuvarnaastrology,Roshan Suvarna,https://static.topmate.io/u153BrnajDDddr8ZcoPhCt.jpeg,https://topmate.io/roshansuvarnaastrology,Astrology / Tarot / Manifestation,"Vedic Astrologer rooted in Kerala traditions | Specialising in Horoscope Reading, Prashna Śāstra, and guiding individuals towards clarity, balance, and wellbeing through Astrology and Humanistic Counsel",115543,121,categorizedusers,original,13,https://awards.topmate.io/astrology-tarot-manifestation
dhanashree_kumbhojkar,Dhanashree Kumbhojkar,https://static.topmate.io/3TtNDgdMim7tbryYGajRFW.jpg,https://topmate.io/dhanashree_kumbhojkar,Astrology / Tarot / Manifestation,MINDSET | MANIFESTATION | SELF-GROWTH,63218,90,categorizedusers,original,14,https://awards.topmate.io/astrology-tarot-manifestation
ekta_sharma10,Ekta Sharma,https://static.topmate.io/hhCBCVn2KobrGenZni9rL4.jpeg,https://topmate.io/ekta_sharma10,Astrology / Tarot / Manifestation,Certified Professional vedic tarot reader|Globally certified tarot reader |Certified Oracle card reader | Initials by tarot|Crystal healer,60370,6,categorizedusers,original,15,https://awards.topmate.io/astrology-tarot-manifestation
navin,I Navin,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Navin-I-1668873875.jpeg,https://topmate.io/navin,Astrology / Tarot / Manifestation,"Founder & mentor making astrology practical through KP consultations, classes & bootcamps",52507,53,categorizedusers,original,16,https://awards.topmate.io/astrology-tarot-manifestation
giftson_paul,Giftson Paul,https://static.topmate.io/3nurjhgMcGQa4W9bsdnT12.jpg,https://topmate.io/giftson_paul,Astrology / Tarot / Manifestation,“Decode Your Numbers. Discover Your Destiny through Digital Numerology.”,42818,182,categorizedusers,original,17,https://awards.topmate.io/astrology-tarot-manifestation
neha_vedastro,Neha A,https://static.topmate.io/6a9oWocqAjVonmHUo6rNJM.png,https://topmate.io/neha_vedastro,Astrology / Tarot / Manifestation,"With over 8+ yrs of experience in Vedic astrology &  in Clinical psychologist with expertise in emotional well-beingWhether you're seeking emotional healing or guidance on important decisions, my goal is to provide actionable solution",26682,38,categorizedusers,original,18,https://awards.topmate.io/astrology-tarot-manifestation
maleeha0777,Maleeha,https://static.topmate.io/kvh3uTuTY6pV7FiJf1wvg1.png,https://topmate.io/maleeha0777,Astrology / Tarot / Manifestation,"I use tarot and numerology to understand your issues and help you overcome them through remedies,meditation,spiritual guidance and angel healing",25759,45,categorizedusers,original,19,https://awards.topmate.io/astrology-tarot-manifestation
rimjhimjoshi,Rimjhim Joshi,https://static.topmate.io/vxD3oQh72ohGBDqF1mARYy.jpeg,https://topmate.io/rimjhimjoshi,Astrology / Tarot / Manifestation,Vedic Astrologer|| Life Coach,25321,13,categorizedusers,original,20,https://awards.topmate.io/astrology-tarot-manifestation
healing_with_gargi,Gargi Aggarwal,https://static.topmate.io/kpZH7iYKAWv73284p5v6CR.jpeg,https://topmate.io/healing_with_gargi,Astrology / Tarot / Manifestation,"I am a Goddess Energy Channeller, Healer, Teacher, Coach and a Tarot card reader. I have my own business named Energetic Essence Co”. I am here to help you with the patterns of your life that you want to break.",22818,14,categorizedusers,original,21,https://awards.topmate.io/astrology-tarot-manifestation
acharya_anand_official,Acharya Anand,https://static.topmate.io/aWRi5JzwfHaEujSaHe2Xj1.png,https://topmate.io/acharya_anand_official,Astrology / Tarot / Manifestation,"🏆 2025 – Corporate Astrology Award – Minister of Culture & Tourism, Govt. of India",0,,,,22,https://awards.topmate.io/astrology-tarot-manifestation
moongirl_tarot,Kirti Nehra,https://static.topmate.io/3NHmHqD6baCTiGFa3naP4W.jpeg,https://topmate.io/moongirl_tarot,Astrology / Tarot / Manifestation,Welcome to Divine Guidance with Moongirl Tarot.,0,,,,23,https://awards.topmate.io/astrology-tarot-manifestation
astrowithmedha,,,https://topmate.io/astrowithmedha,Astrology / Tarot / Manifestation,Vedic Astrologer. Human Design Guide,0,,,,24,https://awards.topmate.io/astrology-tarot-manifestation
nitesh_alag,Nitesh Alag,https://topmate-staging.s3.amazonaws.com/mzZNs8NDRNjSAU2t9JNKin.jpeg,https://topmate.io/nitesh_alag,Astrology / Tarot / Manifestation,✴️ Vedic Astrology & Numerology (with written or call-based readings),0,,,,25,https://awards.topmate.io/astrology-tarot-manifestation
I help you gain clarity, healing, and direction in love, career," and spiritual growth.✨,123053,115,categorizedusers,original,14",,0,,,,1,https://awards.topmate.io/and-spiritual-growth123053115categorizedusersoriginal14
diwakar,Diwakar Singh,https://static.topmate.io/iArsT7edVR62Jo8481BKyk.jpg,https://topmate.io/diwakar,Consulting & Business Analysts,Top 1% LinkedIn Creator in Canada (Based on Favikon Ranking in Canada) || Building BA Helpline & ZSkill Academy || Simplifying Business Analysis ➡️ Examples|| Author : How to Start Freelancing As a Business Analyst 📚,502392,1422,categorizedusers,original,1,https://awards.topmate.io/consulting-business-analysts
