Category,Rank,Username,Topmate URL,,Category Metric,User ID,Profile Pic URL,Full Name,Short Bio
Booking Count,1,primecoding19,https://topmate.io/primecoding19,"'primecoding19',",98039,329333,https://topmate-staging.s3.amazonaws.com/fbjcSdLBa76T3rYXhCEbcu.png,Aditya Mishra,"Hi, I’m Aditya Mishra, a Global Hackathon Winner, Founder of Prime Coding (98% MNC placement rate), and YouTuber with 55k+ subs. I mentor students to excel in coding, placements, and hackathons. Let’s turn your challenges into success! 🚀"
Booking Count,2,careerwithankita,https://topmate.io/careerwithankita,"'careerwithankita',",59488,114514,https://static.topmate.io/xhawk2FdFNpAxcSf3XzaZJ.JPG,Ankita Jaiswal,"9+ Years of Industry Experience | Top Mentor | Flipkart, Tata Steel, MPL, Capgemini | 255k+ Instagram"
Booking Count,3,dataengineering,https://topmate.io/dataengineering,"'dataengineering',",54810,92292,https://static.topmate.io/qsbZkmuK39pi1XoKD2VF36.JPG,Gowtham SB,Data Engineer | PayPal | YouTuber 290K | Talks Facts Only
Booking Count,4,sanabhateja,https://topmate.io/sanabhateja,"'sanabhateja',",42654,938859,https://static.topmate.io/1v6d17vCu3NHdqrkFVd5SQ.jpeg,Sana Bhateja,CUET Guidance | Career Guidance | Du Student | Co founder The Inquisitive Mind | Biology Teacher
Booking Count,5,thisis_alaska,https://topmate.io/thisis_alaska,"'thisis_alaska',",34297,316534,https://static.topmate.io/fJpa4r45eN2EHHsNZxoZmG.jpg,Nandini Sharma,Delhi University Gold Medalist | Founder & CEO at The Invincible Academy | Founder at Aparajita Foundation | Career Coach & CUET Mentor | Content Creator YT & IG  : 500k+
Booking Count,6,krishankumar,https://topmate.io/krishankumar,"'krishankumar',",33424,352593,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_d47f74db-b2a3-45ec-801f-5604a5221b5b.jpeg,Krishan Kumar,130K+ Linkedin | Software Engineer
Booking Count,7,ayushi_mishra,https://topmate.io/ayushi_mishra,"'ayushi_mishra',",30942,33373,https://static.topmate.io/rgkfvvHkqFZFufW3SpzbeZ.png,Ayushi Mishra,4+ Years Experienced Data Scientist | Provide Guidance for Data Science | Data Analysis | Mentor | YouTuber
Booking Count,8,mazher_khan,https://topmate.io/mazher_khan,"'mazher_khan',",27054,105315,https://topmate-staging.s3.amazonaws.com/9NQoYHEJu9apWSS5kdpZmK.png,MAZHER KHAN,"Senior Data Analyst - 6 Years | Instagram - 160K+ |  IIT (DR-2) | Retail, E-commerce & Healthcare | Built a 200K+ Data Community (160K+ - Instagram) | SQL, Tableau, Python | Helped 55K+ Data Enthusiasts with Free Resources"
Booking Count,9,ajay_shenoy,https://topmate.io/ajay_shenoy,"'ajay_shenoy',",19143,61820,https://static.topmate.io/7Jn6xiUrQsncihaSqFGp6J.png,Ajay Shenoy,14+ yrs in AI/ML: Industry + IISc PhD | Harman | Target | NITK
Booking Count,10,garima_jain19,https://topmate.io/garima_jain19,"'garima_jain19',",18981,1014353,https://topmate-staging.s3.amazonaws.com/u8wyCD1yX5pjTjgwW82i5m.jpg,Garima Jain,"Co-Founder @ DU Club | B.Com, Kirori Mal College (DU) | HR Consultant @ Cielo | DU & CUET Mentor | 9 to 5 HR + Full-time Creator | 120K+ Community on IG | 97% in 12th (District Topper) | Ex-Event Head @ NSS"
Booking Count,11,greatstack,https://topmate.io/greatstack,"'greatstack',",18583,179456,https://topmate-staging.s3.ap-south-1.amazonaws.com/beCDTUkJdRgHCR2iz15nEZ.png,Avinash Kumar,"I like to teach aspiring web developers at ""GreatStack"" how to code and get their dream job."
Booking Count,12,aman_vijay,https://topmate.io/aman_vijay,"'aman_vijay',",17907,11663,https://static.topmate.io/psEmjQPgrjjmBfWrXes4c1.png,Aman Vijay,VP Growth @Topmate.io
Booking Count,13,priyasha_crackxat,https://topmate.io/priyasha_crackxat,"'priyasha_crackxat',",15806,383551,https://topmate-staging.s3.amazonaws.com/nJpNcyqU1EWG7NhQ2mm4LX.jpeg,Priyasha Das,Founder- CRACK XAT| GDPI Specialist | Interview Guidance| Dean's Merit | List Your Go-To-Girl for queries related to Careers | MBA | Jobs | Internships | Preparation Strategy
Booking Count,14,ramit_kundu,https://topmate.io/ramit_kundu,"'ramit_kundu',",13821,158579,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_3fb0dc2d-04d5-4fce-90d1-a1cdbe74dcdb.jpeg,Ramit Kundu,software engineer at Swiggy
Booking Count,15,letscode,https://topmate.io/letscode,"'letscode',",13637,257839,https://static.topmate.io/sq4XSSvtkriudcUdMPvnVS.jpeg,Lets Code,Empowering Tech Minds
Booking Count,16,genzcareer,https://topmate.io/genzcareer,"'genzcareer',",12699,231684,https://static.topmate.io/29wpLPr9DLcPJ7j39rJUBd.jpg,GenZ Career,"I'm a Senior Software Developer with extensive experience in one of the leading multinational corporations. Over the years, I've had the unique opportunity to conduct over 100 interviews, giving me a deep understanding of what it takes to s"
Booking Count,17,aman_agarwal247776,https://topmate.io/aman_agarwal247776,"'aman_agarwal247776',",11033,286825,https://static.topmate.io/4vm5g19yAJETvgVJ6ZXSWb.jpeg,Aman Agarwal,"Hi This is Aman Agarwal  Founder of ""THEBTECHFACTORY "" || TEACHER ||  Mentored 20k+ students so far and many students got placed in Big Tech Companies like TCS from our Channel ""TheBtechFactory"" ."
Booking Count,18,ajay_kadiyala,https://topmate.io/ajay_kadiyala,"'ajay_kadiyala',",10972,17047,https://static.topmate.io/95EcRJVWcN21fV2Vb22Wzf.jfif,kadiyala ajay,Hey There! This is Ajay Kadiyala. I help people to crack top Product based Companies.
Booking Count,19,shubhammaloo,https://topmate.io/shubhammaloo,"'shubhammaloo',",10782,22414,https://topmate-staging.s3.amazonaws.com/b2xnpAGrAfgV3uWYQdpLKA.png,CA Shubham Maloo,"Finance Influencer, 8+ Years in helping you with Business Setup and Saving your taxes.GST / ROC / Income Tax / GIFT CITY / Personal Branding"
