Category,Rank,Username,Topmate URL,,Category Metric,User ID,Profile Pic URL,First Name,Short Bio,category_link,category_link,category_link
Overall Top '25,1,ajay_shenoy,https://topmate.io/ajay_shenoy,"'ajay_shenoy',",,61820,https://static.topmate.io/7Jn6xiUrQsncihaSqFGp6J.png,Ajay,14+ yrs in AI/ML: Industry + IISc PhD | Harman | Target | NITK,https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
Overall Top '25,2,shubham_wadekar,https://topmate.io/shubham_wadekar,"'shubham_wadekar',",,192597,https://static.topmate.io/pGbDwovAjJJLnk26TPz6D4.jpg,Shubham,"Hi, I am Shubham Wadekar. I guide people aspiring for Data Engineer roles.",https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
Overall Top '25,3,cloud,https://topmate.io/cloud,"'cloud',",,42261,https://static.topmate.io/abCiGGCLq8unAGDzQAmtWo.jpg,Sanjeev,"DevOps • Cloud • AI Architect helping you build job-ready skills to land high-paying DevOps, Cloud & AI roles with my proven plans, real-world projects, and interview guidance.https://www.youtube.com/@DevOps-Cloud-AI",https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
Overall Top '25,4,aishwarya_srinivasan,https://topmate.io/aishwarya_srinivasan,"'aishwarya_srinivasan',",,20851,https://static.topmate.io/7pXWU8fGN1xd6WzMQFDt9Y.avif,Aishwarya,Data Science| Personal Brand | LinkedIn Influencer | Startup Advisor| Content Creator | First Human at bunchpot.xyz,https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
Overall Top '25,5,genzcareer,https://topmate.io/genzcareer,"'genzcareer',",,231684,https://static.topmate.io/29wpLPr9DLcPJ7j39rJUBd.jpg,GenZ,"I'm a Senior Software Developer with extensive experience in one of the leading multinational corporations. Over the years, I've had the unique opportunity to conduct over 100 interviews, giving me a deep understanding of what it takes to s",https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
Overall Top '25,6,melissagrabiner,https://topmate.io/melissagrabiner,"'melissagrabiner',",,172054,https://topmate-staging.s3.amazonaws.com/fbJHYoavUQ8UP5kmpUVXXn.jfif,Melissa,Top 1% Job Search & LinkedIn Coach on Topmate | Over 500 Job Seekers Coached | Ranked #2 Female LinkedIn Creator Worldwide | Global HR & Talent Acquisition Leader,https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
Overall Top '25,7,thomasguenter,https://topmate.io/thomasguenter,"'thomasguenter',",,33939,https://static.topmate.io/64sViCh3J4oh4H3JCpfyEw.jpg,Thomas,Gepassioneerd door financiën,https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
Overall Top '25,8,qabytopmate,https://topmate.io/qabytopmate,"'qabytopmate',",,13586,https://static.topmate.io/teYrUZmVeLZhSYL1D2LkXb.jpeg,Topmate,Quality engineer,https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
Overall Top '25,9,draditipaul,https://topmate.io/draditipaul,"'draditipaul',",,29433,https://static.topmate.io/gX9CxECshseS2tT6ZCCRGR.jpeg,Aditi,"Get EB1-ready with a proven action plan — make real progress in 4–6 focused hours/week, so you can live in the US with freedom & ease | Served: 78+ Clients. 3600+ Customers | DM ""GO"" to work with me",https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
Overall Top '25,10,nishchay_agrawal,https://topmate.io/nishchay_agrawal,"'nishchay_agrawal',",,18828,https://topmate-staging.s3.amazonaws.com/xmbU8LqLc4mAg3tt7jcpyp.jpeg,Nishchay,"SDE IV (Senior Data Engineer) at Walmart ❤️ | SDE-2 (Data Engineer II) at Meesho 😊 | Data Engineer at Morgan Stanley, Zs Associates ✍️| Gold Medalist Uttarakhand Topper🥇 | 6k+ Youtube Subscribers| 4000+ 1:1 Sessions on Data Engineering 📊",https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
Overall Top '25,11,saurav_chaudhary_1,https://topmate.io/saurav_chaudhary_1,"'saurav_chaudhary_1',",,285315,https://static.topmate.io/6jAQdbdV69pqbsr8DT4HQU.jpg,Saurav,"I don’t teach DevOps. I inject it into your bloodstream. From CI/CD chaos to K8s crashes, I’ve lived it. Want brutal clarity, real-world prep? Book a session. Let’s make you unf*ckwithable. 💥",https://awards.topmate.io/overall,https://awards.topmate.io/overall,https://awards.topmate.io/overall
